Predicted Price,Actual Price,Error
7654000.0,7600000,54000.0
8024000.0,8000000,24000.0
9113250.0,9100000,13250.0
7206533.333333335,7400000,-193466.6666666651
9439000.0,9600000,-161000.0
8116000.0,8100000,16000.0
7722000.0,7800000,-78000.0
8373933.333333332,8350000,23933.33333333209
8535557.142857142,8500000,35557.14285714179
8198500.0,8200000,-1500.0
8315400.0,8250000,65400.0
8315400.0,8400000,-84600.0
9947000.0,10300000,-353000.0
8500866.666666664,8600000,-99133.33333333582
8738014.285714285,8700000,38014.28571428545
8369000.0,8300000,69000.0
7853000.0,7850000,3000.0
8443761.904761905,8450000,-6238.095238095149
9308016.666666666,9500000,-191983.33333333395
7993000.000000001,8000000,-6999.999999999069
7206533.333333335,7000000,206533.3333333349
7638000.0,7600000,38000.0
7756000.0,7700000,56000.0
9214000.0,9400000,-186000.0
7937000.0,8000000,-63000.0
8287666.666666666,8300000,-12333.333333333954
8434714.285714285,8400000,34714.28571428545
8438000.0,8500000,-62000.0
8551000.0,8450000,101000.0
